ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Alignment,Partial_Cognacy,Borrowing,Morphemes,GroupedSounds
Iquito-24_tocome-1,,Iquito,24_tocome,aníini,aníini,a n iː n i,come,Michael2022,2234,,,,a n iː n i,3707,,,"['a', 'n', 'iː', 'n', 'i']"
Iquito-25_tocount-1,,Iquito,25_tocount,sanitáani,sanitáani,s a n i t aː n i,measure or count,Michael2022,2249,,,,s a n i t aː n i,3738,,,"['s', 'a', 'n', 'i', 't', 'aː', 'n', 'i']"
Iquito-26_tocut-1,,Iquito,26_tocut,rapíini,rapíini,r a p iː n i,cut,Michael2022,2257,,,,r a p iː n i,3749,,,"['r', 'a', 'p', 'iː', 'n', 'i']"
Iquito-27_dayoppositeofnightratherthantimemeasure-1,,Iquito,27_dayoppositeofnightratherthantimemeasure,yaawɨ́ɨni,yaawɨ́ɨni,j aː w ɨː n i,day,Michael2022,346,,,,j aː w ɨː n i,559,,,"['j', 'aː', 'w', 'ɨː', 'n', 'i']"
Iquito-28_todie-1,,Iquito,28_todie,iwarɨ́ɨni,iwarɨ́ɨni,i w a r ɨː n i,die,Michael2022,2279,,,,i w a r ɨː n i,3781,,,"['i', 'w', 'a', 'r', 'ɨː', 'n', 'i']"
Iquito-29_todig-1,,Iquito,29_todig,muráànì,muráànì,m u r aː n i,None,Michael2022,2298,,,,m u r aː n i,3814,,,"['m', 'u', 'r', 'aː', 'n', 'i']"
Iquito-30_dirty-1,,Iquito,30_dirty,suúkwarana,suúkwarana,s uː kʷ a r a n a,dirty,Michael2022,364,,,,s uː kʷ a r a n a,591,,,"['s', 'uː', 'kʷ', 'a', 'r', 'a', 'n', 'a']"
Iquito-31_dog-1,,Iquito,31_dog,mɨyaaraa,mɨyaaraa,m ɨ j aː r aː,dog (plural),Michael2022,388,,,,m ɨ j aː r aː,626,,,"['m', 'ɨ', 'j', 'aː', 'r', 'aː']"
Iquito-32_todrink-1,,Iquito,32_todrink,raríini,raríini,r a r iː n i,drink,Michael2022,2308,,,,r a r iː n i,3830,,,"['r', 'a', 'r', 'iː', 'n', 'i']"
Iquito-33_drysubstance-1,,Iquito,33_drysubstance,turúuni,turúuni,t u r uː n i,dry,Michael2022,409,,,,t u r uː n i,657,,,"['t', 'u', 'r', 'uː', 'n', 'i']"
Iquito-35_dust-1,,Iquito,35_dust,pukitika,pukitika,p u k i t i k a,dust or fine powder,Michael2022,439,,,,p u k i t i k a,707,,,"['p', 'u', 'k', 'i', 't', 'i', 'k', 'a']"
Iquito-36_ear-1,,Iquito,36_ear,túuku,túuku,t uː k u,ear,Michael2022,460,,,,t uː k u,736,,,"['t', 'uː', 'k', 'u']"
Iquito-37_earthsoil-1,,Iquito,37_earthsoil,níiya,níiya,n iː j a,soil or earth,Michael2022,484,,,,n iː j a,778,,,"['n', 'iː', 'j', 'a']"
Iquito-38_toeat-1,,Iquito,38_toeat,asáani,asáani,a s aː n i,eat,Michael2022,2333,,,,a s aː n i,3869,,,"['a', 's', 'aː', 'n', 'i']"
Iquito-39_egg-1,,Iquito,39_egg,naaki,naaki,n aː k i,egg,Michael2022,504,,,,n - - aː k i,801,,,"['n', 'aː', 'k', 'i']"
Iquito-40_eye-1,,Iquito,40_eye,namija,namija,n a m i h a,eye,Michael2022,519,,,,n a m i h a,834,,,"['n', 'a', 'm', 'i', 'h', 'a']"
Iquito-41_tofalldropratherthantopple-1,,Iquito,41_tofalldropratherthantopple,itɨ́ɨni,itɨ́ɨni,i t ɨː n i,fall,Michael2022,2359,,,,i t ɨː n i,34,,,"['i', 't', 'ɨː', 'n', 'i']"
Iquito-42_far-1,,Iquito,42_far,síipa,síipa,s iː p a,far,Michael2022,547,,,,s iː p a,881,,,"['s', 'iː', 'p', 'a']"
Iquito-43_fatorganicsubstance-1,,Iquito,43_fatorganicsubstance,wíira,wíira,w iː r a,or grease,Michael2022,565,,,,w iː r a,908,,,"['w', 'iː', 'r', 'a']"
Iquito-44_father-1,,Iquito,44_father,akɨ,akɨ,a k ɨ,father,Michael2022,574,,,,- a k ɨ,922,,,"['a', 'k', 'ɨ']"
Iquito-45_tofear-1,,Iquito,45_tofear,kɨɨrɨ́ɨni,kɨɨrɨ́ɨni,k ɨː r ɨː n i,fear,Michael2022,2374,,,,k ɨː r ɨː n i,3945,,,"['k', 'ɨː', 'r', 'ɨː', 'n', 'i']"
Iquito-46_featherlargerfeathersratherthandown-1,,Iquito,46_featherlargerfeathersratherthandown,kajasi,kajasi,k a h a + s i,feather,Michael2022,593,,,,k a h a + s i,954 57,,,"['k', 'a', 'h', 'a', '+', 's', 'i']"
Iquito-47_few-1,,Iquito,47_few,jɨɨ́timijaarika,jɨɨ́timijaarika,h ɨː t i m i h aː r i k a,a few,Michael2022,617,,,,h ɨː t i m i h aː r i k a,994,,,"['h', 'ɨː', 't', 'i', 'm', 'i', 'h', 'aː', 'r', 'i', 'k', 'a']"
Iquito-47_few-2,,Iquito,47_few,jɨɨ́tipɨjaarika,jɨɨ́tipɨjaarika,h ɨː t i p ɨ h aː r i k a,a few,Michael2022,617,,,,h ɨː t i p ɨ h aː r i k a,994,,,"['h', 'ɨː', 't', 'i', 'p', 'ɨ', 'h', 'aː', 'r', 'i', 'k', 'a']"
Iquito-48_tofight-1,,Iquito,48_tofight,ipurúuni,ipurúuni,i p u r uː n i,fight,Michael2022,2386,,,,i p u r uː n i,3966,,,"['i', 'p', 'u', 'r', 'uː', 'n', 'i']"
Iquito-49_fire-1,,Iquito,49_fire,ijakɨ́ɨni,ijakɨ́ɨni,i h a k ɨː n i,fire,Michael2022,643,,,,i h a k ɨː n i,1030,,,"['i', 'h', 'a', 'k', 'ɨː', 'n', 'i']"
Iquito-50_fish-1,,Iquito,50_fish,paápaaraja,paápaaraja,p aː p aː r a h a,fish (general term),Michael2022,663,,,,p aː p aː r a h a,59,,,"['p', 'aː', 'p', 'aː', 'r', 'a', 'h', 'a']"
Iquito-96_meatflesh-1,,Iquito,96_meatflesh,naasíija,naasíija,n aː s iː h a,flesh or meat,Michael2022,1194,,,,n aː s iː h a,1961,,,"['n', 'aː', 's', 'iː', 'h', 'a']"
Iquito-52_tofloat-1,,Iquito,52_tofloat,ikatáani,ikatáani,i k a t aː n i,float,Michael2022,2390,,,,i k a t aː n i,3974,,,"['i', 'k', 'a', 't', 'aː', 'n', 'i']"
Iquito-53_toflow-1,,Iquito,53_toflow,ɨ́ɨni,ɨ́ɨni,ɨː n i,flow,Michael2022,2396,,,,ɨː n i,3985,,,"['ɨː', 'n', 'i']"
Iquito-54_flower-1,,Iquito,54_flower,itiyɨki,itiyɨki,i t i j ɨ k i,a flower,Michael2022,706,,,,i t i j ɨ k i,1133,,,"['i', 't', 'i', 'j', 'ɨ', 'k', 'i']"
Iquito-55_tofly-1,,Iquito,55_tofly,siaawíita,siaawíita,ʃ aː w iː t a,fly,Michael2022,2411,,,,ʃ aː w iː t a,4007,,,"['ʃ', 'aː', 'w', 'iː', 't', 'a']"
Iquito-56_fog-1,,Iquito,56_fog,panakaja,panakaja,p a n a k a h a,mist or falling damp,Michael2022,723,,,,p a n a k a h a,1159,,,"['p', 'a', 'n', 'a', 'k', 'a', 'h', 'a']"
Iquito-57_foot-1,,Iquito,57_foot,tiitiwa,tiitiwa,t iː t i w a,foot (plural),Michael2022,738,,,,- t i h ia,1184,,,"['t', 'iː', 't', 'i', 'w', 'a']"
Iquito-196_woods-1,,Iquito,196_woods,táasa,táasa,t aː s a,mainly used to carry tubers (especially manioc) and fruits from the garden or forest,Michael2022,3207,,,,t aː s a,5395,,,"['t', 'aː', 's', 'a']"
Iquito-58_four-1,,Iquito,58_four,suwaramaajɨtáami,suwaramaajɨtáami,s u w a r a m aː h ɨ t aː m i,four,Michael2022,761,,,,s u w a r a m aː h ɨ t aː m i,1225,,,"['s', 'u', 'w', 'a', 'r', 'a', 'm', 'aː', 'h', 'ɨ', 't', 'aː', 'm', 'i']"
Iquito-60_togive-1,,Iquito,60_togive,miitɨ́ɨni,miitɨ́ɨni,m iː t ɨː n i,give,Michael2022,2432,,,,m iː ( - - ) t ɨː n i,4037,,,"['m', 'iː', 't', 'ɨː', 'n', 'i']"
Iquito-61_good-1,,Iquito,61_good,suwáani,suwáani,s u w aː n i,good,Michael2022,784,,,,s u w aː n i,1259,,,"['s', 'u', 'w', 'aː', 'n', 'i']"
Iquito-62_grass-1,,Iquito,62_grass,iyásììka,iyásììka,i j a s iː k a,None,Michael2022,800,,,,( - i ) j a s iː k a,1283,,,"['i', 'j', 'a', 's', 'iː', 'k', 'a']"
Iquito-63_green-1,,Iquito,63_green,nɨyana,nɨyana,n ɨ j a n a,green,Michael2022,826,,,,n ɨ j a n a,1323,,,"['n', 'ɨ', 'j', 'a', 'n', 'a']"
Iquito-65_hair-1,,Iquito,65_hair,ririíkɨɨtáani,ririíkɨɨtáani,r i r iː k ɨː t aː n i,hair,Michael2022,850,,,,r i r iː k ɨː t aː n i,1361,,,"['r', 'i', 'r', 'iː', 'k', 'ɨː', 't', 'aː', 'n', 'i']"
Iquito-66_hand-1,,Iquito,66_hand,kurika,kurika,k u r i k a,hand,Michael2022,874,,,,k u r i k a,1396,,,"['k', 'u', 'r', 'i', 'k', 'a']"
Iquito-67_he-1,,Iquito,67_he,nu=,nu=,n u,he,Michael2022,891,,,,n u,63,,,"['n', 'u']"
Iquito-68_head-1,,Iquito,68_head,ánaka,ánaka,a n a k a,head,Michael2022,903,,,,a n a k a,1465,,,"['a', 'n', 'a', 'k', 'a']"
Iquito-69_tohear-1,,Iquito,69_tohear,tuujíini,tuujíini,t uː h iː n i,hear or listen,Michael2022,2447,,,,t uː h iː n i,4066,,,"['t', 'uː', 'h', 'iː', 'n', 'i']"
Iquito-70_heart-1,,Iquito,70_heart,akánataaja,akánataaja,a k a n a t aː h a,heart,Michael2022,931,,,,a k a n a t aː h a,1515,,,"['a', 'k', 'a', 'n', 'a', 't', 'aː', 'h', 'a']"
Iquito-71_heavy-1,,Iquito,71_heavy,iinana,iinana,iː n a n a,heavy,Michael2022,945,,,,iː n a n a,1541,,,"['iː', 'n', 'a', 'n', 'a']"
Iquito-72_here-1,,Iquito,72_here,kiniki,kiniki,k i n i k i,here,Michael2022,961,,,,k i n i k i,1568,,,"['k', 'i', 'n', 'i', 'k', 'i']"
Iquito-73_tohit-1,,Iquito,73_tohit,aamúuni,aamúuni,aː m uː n i,hit or strike a living being,Michael2022,2470,,,,aː m uː n i,4102,,,"['aː', 'm', 'uː', 'n', 'i']"
Iquito-74_toholdinhand-1,,Iquito,74_toholdinhand,kasiráani,kasiráani,k a s i r aː n i,hold,Michael2022,2481,,,,k a s i r aː n i,4128,,,"['k', 'a', 's', 'i', 'r', 'aː', 'n', 'i']"
Iquito-75_how-1,,Iquito,75_how,jaátaaraa,jaátaaraa,h aː t aː r aː,how,Michael2022,978,,,,h aː t aː r aː,64,,,"['h', 'aː', 't', 'aː', 'r', 'aː']"
Iquito-76_tohuntgame-1,,Iquito,76_tohuntgame,aamɨ́yààkíìnì,aamɨ́yààkíìnì,aː m ɨ j aː k iː n i,None,Michael2022,2493,,,,aː m ɨ j aː k iː n i,4148,,,"['aː', 'm', 'ɨ', 'j', 'aː', 'k', 'iː', 'n', 'i']"
Iquito-77_husband-1,,Iquito,77_husband,níyaaka,níyaaka,n i j aː k a,husband,Michael2022,996,,,,n i j aː k a,1631,,,"['n', 'i', 'j', 'aː', 'k', 'a']"
Iquito-78_i-1,,Iquito,78_i,kí=,kí=,k i,I,Michael2022,2,,,,k i - -,11,,,"['k', 'i']"
Iquito-81_in-1,,Iquito,81_in,=jina,=jina,h i n a,in,Michael2022,1028,,,,h i n a,74,,,"['h', 'i', 'n', 'a']"
Iquito-82_tokill-1,,Iquito,82_tokill,aamúuni,aamúuni,aː m uː n i,kill,Michael2022,2503,,,,aː m uː n i,4165,,,"['aː', 'm', 'uː', 'n', 'i']"
Iquito-83_toknowfacts-1,,Iquito,83_toknowfacts,nakusíìnì,nakusíìnì,n a k u s iː n i,None,Michael2022,2523,,,,n a k u s iː n i,4207,,,"['n', 'a', 'k', 'u', 's', 'iː', 'n', 'i']"
Iquito-84_lake-1,,Iquito,84_lake,iniyáani,iniyáani,i n i j aː n i,such as a river or lake,Michael2022,1041,,,,i n i j aː n i,1717,,,"['i', 'n', 'i', 'j', 'aː', 'n', 'i']"
Iquito-85_tolaugh-1,,Iquito,85_tolaugh,satáani,satáani,s a t aː n i,laugh,Michael2022,2538,,,,s a t aː n i,79,,,"['s', 'a', 't', 'aː', 'n', 'i']"
Iquito-86_leaf-1,,Iquito,86_leaf,íimɨ,íimɨ,iː m ɨ,leaf,Michael2022,1054,,,,- iː m ɨ -,1733,,,"['iː', 'm', 'ɨ']"
Iquito-86_leaf-2,,Iquito,86_leaf,naamɨ,naamɨ,n aː m ɨ,leaf,Michael2022,1054,,,,n aː m ɨ -,1733,,,"['n', 'aː', 'm', 'ɨ']"
Iquito-87_lefthand-1,,Iquito,87_lefthand,jaámɨɨkiji,jaámɨɨkiji,h aː m ɨː k i h i,left side,Michael2022,1081,,,,h aː m ɨː k i h i,1779,,,"['h', 'aː', 'm', 'ɨː', 'k', 'i', 'h', 'i']"
Iquito-88_leg-1,,Iquito,88_leg,áaja,áaja,aː h a,leg,Michael2022,1096,,,,aː h a,1803,,,"['aː', 'h', 'a']"
Iquito-89_tolie-1,,Iquito,89_tolie,iwɨɨtáani,iwɨɨtáani,i w ɨː t aː n i,be lying down,Michael2022,2547,,,,i w ɨː t aː n i,4246,,,"['i', 'w', 'ɨː', 't', 'aː', 'n', 'i']"
Iquito-91_liver-1,,Iquito,91_liver,kúwaaja,kúwaaja,k u w aː h a,liver,Michael2022,1110,,,,k u w aː h a,1827,,,"['k', 'u', 'w', 'aː', 'h', 'a']"
Iquito-92_long-1,,Iquito,92_long,saana,saana,s aː n a,long,Michael2022,1130,,,,s aː n a,95,,,"['s', 'aː', 'n', 'a']"
Iquito-93_louse-1,,Iquito,93_louse,sikwanaja,sikwanaja,s i kʷ a n a h a,louse,Michael2022,1148,,,,s i kʷ a n a h a,1888,,,"['s', 'i', 'kʷ', 'a', 'n', 'a', 'h', 'a']"
Iquito-94_manmalehuman-1,,Iquito,94_manmalehuman,ikwánì,ikwánì,i kʷ a n i,None,Michael2022,1163,,,,i kʷ a n i,1919,,,"['i', 'kʷ', 'a', 'n', 'i']"
Iquito-95_many-1,,Iquito,95_many,maasiáànà,maasiáànà,m aː ʃ aː n a,None,Michael2022,1175,,,,m aː ʃ aː n a,1935,,,"['m', 'aː', 'ʃ', 'aː', 'n', 'a']"
Iquito-97_mother-1,,Iquito,97_mother,maámaaja,maámaaja,m aː m aː h a,mother,Michael2022,1210,,,,m aː m aː h a,1988,,,"['m', 'aː', 'm', 'aː', 'h', 'a']"
Iquito-99_mouth-1,,Iquito,99_mouth,itípùmà,itípùmà,i t i p u m a,None,Michael2022,1253,,,,i t i p u m a,2056,,,"['i', 't', 'i', 'p', 'u', 'm', 'a']"
Iquito-100_name-1,,Iquito,100_name,ɨɨ́yaaka,ɨɨ́yaaka,ɨː j aː k a,name,Michael2022,1278,,,,ɨː j aː k a,2094,,,"['ɨː', 'j', 'aː', 'k', 'a']"
Iquito-101_narrow-1,,Iquito,101_narrow,tuukina,tuukina,t uː k i n a,narrow,Michael2022,1294,,,,t uː k i n a,2118,,,"['t', 'uː', 'k', 'i', 'n', 'a']"
Iquito-103_neck-1,,Iquito,103_neck,ríkiija,ríkiija,r i k iː h a,neck,Michael2022,1326,,,,- r i k iː h a,2160,,,"['r', 'i', 'k', 'iː', 'h', 'a']"
Iquito-104_new-1,,Iquito,104_new,saámina,saámina,s aː m i n a,new,Michael2022,1350,,,,s aː m i n a,2198,,,"['s', 'aː', 'm', 'i', 'n', 'a']"
Iquito-105_night-1,,Iquito,105_night,niínaki,niínaki,n iː n a k i,night,Michael2022,1362,,,,n iː n a k i,2221,,,"['n', 'iː', 'n', 'a', 'k', 'i']"
Iquito-106_nose-1,,Iquito,106_nose,najika,najika,n a h i k a,nose,Michael2022,1379,,,,n a h i k a,120,,,"['n', 'a', 'h', 'i', 'k', 'a']"
Iquito-107_not-1,,Iquito,107_not,kaa,kaa,k aː,None,Michael2022,1405,,,,k aː,2300,,,"['k', 'aː']"
Iquito-108_old-1,,Iquito,108_old,kumaku,kumaku,k u m a k u,old,Michael2022,1423,,,,k u m a k u,2341,,,"['k', 'u', 'm', 'a', 'k', 'u']"
Iquito-109_one-1,,Iquito,109_one,nuúkiika,nuúkiika,n uː k iː k a,one,Michael2022,1447,,,,n uː k iː k a - - ( - - ),2373,,,"['n', 'uː', 'k', 'iː', 'k', 'a']"
Iquito-110_other-1,,Iquito,110_other,taana,taana,t aː n a,other,Michael2022,1461,,,,t aː n a,2407,,,"['t', 'aː', 'n', 'a']"
Iquito-111_person-1,,Iquito,111_person,kaaya,kaaya,k aː j a,person or human being,Michael2022,1480,,,,k aː j a,2443,,,"['k', 'aː', 'j', 'a']"
Iquito-112_toplay-1,,Iquito,112_toplay,maayaasíini,maayaasíini,m aː j aː s iː n i,play,Michael2022,2571,,,,m aː j aː s iː n i,4285,,,"['m', 'aː', 'j', 'aː', 's', 'iː', 'n', 'i']"
Iquito-113_topull-1,,Iquito,113_topull,jɨ́ɨni,jɨ́ɨni,h ɨː n i,pull,Michael2022,2581,,,,h ɨː n i ( - - - - ),4300,,,"['h', 'ɨː', 'n', 'i']"
Iquito-114_topush-1,,Iquito,114_topush,kɨnitáani,kɨnitáani,k ɨ n i t aː n i,push or lift a heavy load,Michael2022,2594,,,,( - - ) k ɨ n i ( t aː n i ),4324,,,"['k', 'ɨ', 'n', 'i', 't', 'aː', 'n', 'i']"
Iquito-115_torain-1,,Iquito,115_torain,aníìnì,aníìnì,a n iː n i,None,Michael2022,2606,,,,a n iː n i,123,,,"['a', 'n', 'iː', 'n', 'i']"
Iquito-116_red-1,,Iquito,116_red,nuusina,nuusina,n uː s i n a,red,Michael2022,1497,,,,n uː s - i ( n a ),2459,,,"['n', 'uː', 's', 'i', 'n', 'a']"
Iquito-118_righthand-1,,Iquito,118_righthand,suwákija,suwákija,s u w a k i h a,right side,Michael2022,1535,,,,s u w a k i h a,2532,,,"['s', 'u', 'w', 'a', 'k', 'i', 'h', 'a']"
Iquito-119_river-1,,Iquito,119_river,aatɨ́ɨni,aatɨ́ɨni,aː t ɨː n i,river,Michael2022,1556,,,,aː t ɨː n i,2562,,,"['aː', 't', 'ɨː', 'n', 'i']"
Iquito-119_river-2,,Iquito,119_river,nunáani,nunáani,n u n aː n i,river,Michael2022,1569,,,,n u n aː n i,2575,,,"['n', 'u', 'n', 'aː', 'n', 'i']"
Iquito-120_roadortrail-1,,Iquito,120_roadortrail,amakɨ,amakɨ,a m a k ɨ,None,Michael2022,1575,,,,a m a k ɨ,2597,,,"['a', 'm', 'a', 'k', 'ɨ']"
Iquito-121_root-1,,Iquito,121_root,anija,anija,a n i h a,root (plant,Michael2022,1582,,,,a n i h a,2607,,,"['a', 'n', 'i', 'h', 'a']"
Iquito-122_rope-1,,Iquito,122_rope,iiyɨɨ,iiyɨɨ,iː j ɨː,rope or cord of any type,Michael2022,1603,,,,- - - i j au k a,2644,,,"['iː', 'j', 'ɨː']"
Iquito-123_rottenespeciallylog-1,,Iquito,123_rottenespeciallylog,pukina,pukina,p u k i n a,rotten or decayed,Michael2022,1623,,,,p u k i n a,2675,,,"['p', 'u', 'k', 'i', 'n', 'a']"
Iquito-124_torub-1,,Iquito,124_torub,kaakuusíini,kaakuusíini,k aː k uː s iː n i,rub or massage a body part to alleviate pain,Michael2022,2613,,,,k aː k uː s iː n i,4356,,,"['k', 'aː', 'k', 'uː', 's', 'iː', 'n', 'i']"
Iquito-125_salt-1,,Iquito,125_salt,iisaja,iisaja,iː s a h a,salt,Michael2022,1635,,,,iː s a h a,2699,,,"['iː', 's', 'a', 'h', 'a']"
Iquito-126_sand-1,,Iquito,126_sand,kakuti,kakuti,k a k u t i,sand,Michael2022,1653,,,,k a k u t i,2728,,,"['k', 'a', 'k', 'u', 't', 'i']"
Iquito-127_say-1,,Iquito,127_say,aríini,aríini,a r iː n i,say,Michael2022,1672,,,,a r iː n i,128,,,"['a', 'r', 'iː', 'n', 'i']"
Iquito-128_toscratchaswithfingernailstorelieveitch-1,,Iquito,128_toscratchaswithfingernailstorelieveitch,aríìnì,aríìnì,a r iː n i,None,Michael2022,2625,,,,a r iː - - n i,4372,,,"['a', 'r', 'iː', 'n', 'i']"
Iquito-130_see-1,,Iquito,130_see,nikíini,nikíini,n i k iː n i,see,Michael2022,1702,,,,n i k iː n i,2819,,,"['n', 'i', 'k', 'iː', 'n', 'i']"
Iquito-131_seed-1,,Iquito,131_seed,íniijaa,íniijaa,i n iː h aː,seed (plural),Michael2022,1730,,,,i n iː h aː,2861,,,"['i', 'n', 'iː', 'h', 'aː']"
Iquito-132_tosew-1,,Iquito,132_tosew,sipúuni,sipúuni,s i p uː n i,sew,Michael2022,2635,,,,- - s i p uː n i,4385,,,"['s', 'i', 'p', 'uː', 'n', 'i']"
Iquito-133_sharpasknife-1,,Iquito,133_sharpasknife,kuukwana,kuukwana,k uː kʷ a n a,sharp,Michael2022,1746,,,,k uː kʷ a n a,2887,,,"['k', 'uː', 'kʷ', 'a', 'n', 'a']"
Iquito-134_short-1,,Iquito,134_short,takínuurika,takínuurika,t a k i n uː r i k a,short,Michael2022,1761,,,,t a k i n uː r i k a,2909,,,"['t', 'a', 'k', 'i', 'n', 'uː', 'r', 'i', 'k', 'a']"
Iquito-135_tosing-1,,Iquito,135_tosing,ariwáani,ariwáani,a r i w aː n i,sing,Michael2022,2649,,,,a r i w aː n i,4406,,,"['a', 'r', 'i', 'w', 'aː', 'n', 'i']"
Iquito-136_sit-1,,Iquito,136_sit,ajirɨ́ɨ̀nì,ajirɨ́ɨ̀nì,a h i r ɨː n i,None,Michael2022,1782,,,,- a h i r ɨː n i,2938,,,"['a', 'h', 'i', 'r', 'ɨː', 'n', 'i']"
Iquito-137_skinpersons-1,,Iquito,137_skinpersons,ísɨ̀kɨ̀,ísɨ̀kɨ̀,i s ɨ k ɨ,None,Michael2022,1798,,,,i s ɨ k ɨ,2961,,,"['i', 's', 'ɨ', 'k', 'ɨ']"
